,Unnamed: 0,file,internet,leur,present,75015,inform,abon,cook,societ,donne,boissieu,san,lien,suiv,fair,ordin,legal,client,tous,etre,lor,ver,cet,ains,titr,public,permet,engag,reserv,respect,propriet,not,general,realis,objet,navig,offre
24,24,0024.txt,0.1034482758620689,0.0,0.0,0.0,0.1034482758620689,0.1379310344827586,0.1034482758620689,0.1379310344827586,0.1034482758620689,0.1379310344827586,0.0,0.1034482758620689,0.1724137931034483,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1034482758620689,0.1034482758620689,0.0,0.1034482758620689,0.0,0.0,0.1034482758620689,0.1034482758620689,0.0,0.0,0.1034482758620689,0.0,0.1034482758620689,0.0,0.0,0.0,0.0,0.0,0.0,0.1034482758620689
25,25,0025.txt,0.1538461538461538,0.1153846153846153,0.1153846153846153,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.1923076923076923,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.1923076923076923,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0,0.1153846153846153,0.0769230769230769,0.0,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0,0.1153846153846153,0.0,0.0,0.0,0.0,0.1153846153846153
26,26,0026.txt,0.0869565217391304,0.1304347826086956,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1304347826086956,0.1739130434782608,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0,0.0,0.1304347826086956,0.0,0.0,0.0869565217391304,0.0,0.1304347826086956
27,27,0027.txt,0.1785714285714285,0.1071428571428571,0.1785714285714285,0.1428571428571428,0.1428571428571428,0.0,0.1071428571428571,0.1428571428571428,0.1071428571428571,0.1071428571428571,0.1428571428571428,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0
28,28,0028.txt,0.12,0.16,0.16,0.2,0.0,0.16,0.08,0.2,0.16,0.16,0.16,0.12,0.12,0.16,0.08,0.08,0.08,0.12,0.08,0.12,0.08,0.0,0.12,0.0,0.12,0.08,0.08,0.0,0.16,0.08,0.0,0.0,0.08,0.08,0.0,0.12
29,29,0029.txt,0.1304347826086956,0.0869565217391304,0.217391304347826,0.1739130434782608,0.1304347826086956,0.1739130434782608,0.1739130434782608,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.1739130434782608,0.0,0.1304347826086956,0.1304347826086956,0.1739130434782608,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0,0.0,0.0869565217391304,0.0869565217391304,0.0,0.0869565217391304,0.1304347826086956,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0,0.0869565217391304,0.0869565217391304,0.0,0.1304347826086956
30,30,0030.txt,0.1923076923076923,0.1538461538461538,0.1923076923076923,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1538461538461538,0.0,0.0769230769230769,0.1538461538461538,0.1153846153846153,0.1923076923076923,0.0769230769230769,0.0,0.1153846153846153,0.0,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0,0.0769230769230769,0.0769230769230769,0.0,0.1153846153846153,0.0
31,31,0031.txt,0.1481481481481481,0.1851851851851851,0.1481481481481481,0.1111111111111111,0.1851851851851851,0.1111111111111111,0.1481481481481481,0.1111111111111111,0.1481481481481481,0.0,0.1481481481481481,0.0,0.0,0.1481481481481481,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
32,32,0032.txt,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.2083333333333333,0.2083333333333333,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.125,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.2083333333333333,0.125,0.0833333333333333,0.0833333333333333,0.125,0.125,0.125,0.125,0.0833333333333333,0.125,0.125,0.0833333333333333,0.125,0.0833333333333333,0.0,0.0833333333333333,0.0,0.125,0.0,0.0833333333333333,0.0,0.0833333333333333
33,33,0033.txt,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.0,0.0,0.1379310344827586,0.1379310344827586,0.1034482758620689,0.1379310344827586,0.1034482758620689,0.1034482758620689,0.1379310344827586,0.1034482758620689,0.0,0.1379310344827586,0.0,0.1034482758620689,0.0,0.1034482758620689,0.1034482758620689,0.0,0.1034482758620689,0.1034482758620689,0.1034482758620689,0.0,0.0,0.0,0.1034482758620689,0.0,0.0,0.0,0.1034482758620689,0.0,0.0,0.1034482758620689
